date_time,station_code,source_name,azimuth,elevation,device,input,polarization,frequency,TSYS,SEFD,Tcal(j),Tcal(r) ,date,time
2020-12-22 17:27,Gs,casa,40.7,40.2,15a0,1,l,3016.4,74.23,4097.1,55.192,1.66,2020-12-22,17:27
2020-12-22 17:27,Gs,casa,40.7,40.2,15a1,2,r,3016.4,52.2,3198.6,61.279,1.84,2020-12-22,17:27
2020-12-22 17:27,Gs,casa,40.7,40.2,15b0,3,l,5256.4,49.64,2444.6,49.25,1.48,2020-12-22,17:27
2020-12-22 17:27,Gs,casa,40.7,40.2,15b1,4,r,5256.4,56.36,3258.5,57.82,1.73,2020-12-22,17:27
2020-12-22 17:27,Gs,casa,40.7,40.2,15c0,5,l,6376.4,44.91,2169.6,48.312,1.45,2020-12-22,17:27
2020-12-22 17:27,Gs,casa,40.7,40.2,15c1,6,r,6376.4,60.66,2933.6,48.362,1.45,2020-12-22,17:27
2020-12-22 17:27,Gs,casa,40.7,40.2,15d0,7,l,10216.4,53.4,2620.7,49.08,1.47,2020-12-22,17:27
2020-12-22 17:27,Gs,casa,40.7,40.2,15d1,8,r,10216.4,66.91,3169.8,47.374,1.42,2020-12-22,17:27
2020-12-22 17:21,K2,virgoa,203.4,79.3,15a0,1,l,3016.4,57.8,2459.0,106.356,1.06,2020-12-22,17:21
2020-12-22 17:21,K2,virgoa,203.4,79.3,15a1,2,r,3016.4,63.72,2551.2,100.091,1.0,2020-12-22,17:21
2020-12-22 17:21,K2,virgoa,203.4,79.3,15b0,3,l,5256.4,69.43,3063.3,110.297,1.1,2020-12-22,17:21
2020-12-22 17:21,K2,virgoa,203.4,79.3,15b1,4,r,5256.4,76.57,4223.0,137.884,1.38,2020-12-22,17:21
2020-12-22 17:21,K2,virgoa,203.4,79.3,15c0,5,l,6376.4,81.59,3763.0,115.31,1.15,2020-12-22,17:21
2020-12-22 17:21,K2,virgoa,203.4,79.3,15c1,6,r,6376.4,91.64,4756.4,129.764,1.3,2020-12-22,17:21
2020-12-22 17:21,K2,virgoa,203.4,79.3,15d0,7,l,10216.4,126.9,4349.1,102.749,0.86,2020-12-22,17:21
2020-12-22 17:21,K2,virgoa,203.4,79.3,15d1,8,r,10216.4,132.5,10180.0,230.47,1.92,2020-12-22,17:21
2020-12-22 15:21,Mg,virgoa,242.9,56.8,15a0,1,l,3016.4,96.99,4696.5,48.424,1.21,2020-12-22,15:21
2020-12-22 15:21,Mg,virgoa,242.9,56.8,15a1,2,r,3016.4,100.3,5902.3,58.826,1.47,2020-12-22,15:21
2020-12-22 15:21,Mg,virgoa,242.9,56.8,15b0,3,l,5256.4,119.2,5911.1,49.584,1.24,2020-12-22,15:21
2020-12-22 15:21,Mg,virgoa,242.9,56.8,15b1,4,r,5256.4,179.8,10076.0,56.029,1.4,2020-12-22,15:21
2020-12-22 15:21,Mg,virgoa,242.9,56.8,15c0,5,l,6376.4,151.0,8432.6,55.832,1.4,2020-12-22,15:21
2020-12-22 15:21,Mg,virgoa,242.9,56.8,15c1,6,r,6376.4,131.8,9667.5,73.352,1.83,2020-12-22,15:21
2020-12-22 15:21,Mg,virgoa,242.9,56.8,15d0,7,l,10216.4,178.1,10385.0,58.282,1.46,2020-12-22,15:21
2020-12-22 15:21,Mg,virgoa,242.9,56.8,15d1,8,r,10216.4,183.6,10091.0,54.947,1.37,2020-12-22,15:21
2020-12-22 16:10,Oe,casa,57.9,86.9,001l,1,l,3464.4,81.44,2669.4,56.148,0.89,2020-12-22,16:10
2020-12-22 16:10,Oe,casa,57.9,86.9,002l,1,l,3432.4,78.44,2917.3,63.577,1.0,2020-12-22,16:10
2020-12-22 16:10,Oe,casa,57.9,86.9,003l,1,l,3368.4,88.54,2916.9,67.265,0.89,2020-12-22,16:10
2020-12-22 16:10,Oe,casa,57.9,86.9,004l,1,l,3304.4,69.56,2447.5,77.523,0.95,2020-12-22,16:10
2020-12-22 16:10,Oe,casa,57.9,86.9,005l,1,l,3208.4,79.05,2882.3,72.43,0.98,2020-12-22,16:10
2020-12-22 16:10,Oe,casa,57.9,86.9,006l,1,l,3080.4,81.48,3639.5,88.731,1.21,2020-12-22,16:10
2020-12-22 16:10,Oe,casa,57.9,86.9,007l,1,l,3048.4,63.55,3233.9,101.078,1.37,2020-12-22,16:10
2020-12-22 16:10,Oe,casa,57.9,86.9,008l,1,l,3016.4,70.51,3809.0,107.312,1.46,2020-12-22,16:10
2020-12-22 16:10,Oe,casa,57.9,86.9,009l,2,r,3464.4,57.47,2022.1,92.704,0.95,2020-12-22,16:10
2020-12-22 16:10,Oe,casa,57.9,86.9,010l,2,r,3432.4,57.03,2063.1,95.359,0.98,2020-12-22,16:10
