Generated from vgosDB: 19JUL24XW
YMDHM,Second,Source,Station1,Station2,El1,Az1,El2,Az2,A_freq,B_freq,C_freq,D_freq,A_SNR,B_SNR,C_SNR,D_SNR,tot_SNR,A_bw,B_bw,C_bw,D_bw,int_time,Q_code

19/7/24-07:15,20.0,1803+784,MK-VLBA,PIETOWN,0.5394907289339534,0.05966870511988996,0.7634366294036555,6.133985455159426,,,,8635.75,0,0,0,101.87259674072266,101.87259674072266,0,0,0,128,39.985374450683594,8

19/7/24-07:15,20.0,1803+784,MK-VLBA,WETTZELL,0.5394907289339534,0.05966870511988996,0.6739901869716037,6.168807511260966,,,,8635.75,0,0,0,113.03119659423828,113.03119659423828,0,0,0,128,38.98693084716797,9

19/7/24-07:15,20.0,1803+784,PIETOWN,WETTZELL,0.7634366294036555,6.133985455159426,0.6739901869716037,6.168807511260966,,,,8635.75,0,0,0,102.7675552368164,102.7675552368164,0,0,0,128,38.98693084716797,9

19/7/24-07:17,44.0,2141+175,MK-VLBA,PIETOWN,0.4156311913919476,1.3728894610784086,1.1104829165516943,2.1434874851366064,,,,8635.75,0,0,0,24.026899337768555,24.026899337768555,0,0,0,128,39.981056213378906,8

19/7/24-07:17,44.0,2141+175,MK-VLBA,WETTZELL,0.4156311913919476,1.3728894610784086,0.14631177502525664,5.019682484252997,,,,8635.75,0,0,0,10.227717399597168,10.227717399597168,0,0,0,128,37.99696350097656,9

19/7/24-07:17,44.0,2141+175,PIETOWN,WETTZELL,1.1104829165516943,2.1434874851366064,0.14631177502525664,5.019682484252997,,,,8635.75,0,0,0,13.663259506225586,13.663259506225586,0,0,0,128,37.99696350097656,9

19/7/24-07:19,15.0,2319+317,MK-VLBA,PIETOWN,0.11631048752378918,1.0148765967529854,0.8855960102789587,1.3858496691574032,,,,8635.75,0,0,0,13.517927169799805,13.517927169799805,0,0,0,128,39.983619689941406,9

19/7/24-07:19,15.0,2319+317,MK-VLBA,WETTZELL,0.11631048752378918,1.0148765967529854,0.5921680535448484,4.917043085492049,,,,8635.75,0,0,0,10.686052322387695,10.686052322387695,0,0,0,128,54.98820877075195,9

19/7/24-07:19,15.0,2319+317,PIETOWN,WETTZELL,0.8855960102789587,1.3858496691574032,0.5921680535448484,4.917043085492049,,,,8635.75,0,0,0,12.828871726989746,12.828871726989746,0,0,0,128,38.98820495605469,9

19/7/24-07:22,20.0,1800+440,MK-VLBA,PIETOWN,1.1026688139994227,0.38594346944176217,1.08859651119519,5.250518348293633,,,,8635.75,0,0,0,27.349409103393555,27.349409103393555,0,0,0,128,39.981056213378906,8

19/7/24-07:22,20.0,1800+440,MK-VLBA,WETTZELL,1.1026688139994227,0.38594346944176217,0.10160613364706206,5.968943770828335,,,,8635.75,0,0,0,5.322366237640381,5.322366237640381,0,0,0,128,38.99791717529297,0

19/7/24-07:22,20.0,1800+440,PIETOWN,WETTZELL,1.08859651119519,5.250518348293633,0.10160613364706206,5.968943770828335,,,,8635.75,0,0,0,6.045361042022705,6.045361042022705,0,0,0,128,38.99791717529297,0

19/7/24-07:24,26.0,1418+546,MK-VLBA,PIETOWN,0.7495161344379454,5.71722889824599,0.4790127948619335,5.565759542295401,,,,8635.75,0,0,0,34.8704719543457,34.8704719543457,0,0,0,128,39.98553466796875,8

19/7/24-07:24,26.0,1418+546,MK-VLBA,WETTZELL,0.7495161344379454,5.71722889824599,0.28983721269639295,0.3152479401358969,,,,8635.75,0,0,0,14.456503868103027,14.456503868103027,0,0,0,128,38.99407958984375,9

19/7/24-07:24,26.0,1418+546,PIETOWN,WETTZELL,0.4790127948619335,5.565759542295401,0.28983721269639295,0.3152479401358969,,,,8635.75,0,0,0,8.285921096801758,8.285921096801758,0,0,0,128,38.99407958984375,9

19/7/24-07:26,9.0,1636+473,MK-VLBA,PIETOWN,1.0774706620643486,6.076464324265238,0.8195965856204388,5.321460394917228,,,,8635.75,0,0,0,55.96221923828125,55.96221923828125,0,0,0,128,53.98137283325195,8

19/7/24-07:26,9.0,1636+473,MK-VLBA,WETTZELL,1.0774706620643486,6.076464324265238,0.11258698181512515,6.242278416705595,,,,8635.75,0,0,0,14.102389335632324,14.102389335632324,0,0,0,128,52.99776077270508,9

19/7/24-07:26,9.0,1636+473,PIETOWN,WETTZELL,0.8195965856204388,5.321460394917228,0.11258698181512515,6.242278416705595,,,,8635.75,0,0,0,19.900339126586914,19.900339126586914,0,0,0,128,54.99776077270508,9

