calculate_SNR_per_band
vgosDB: data/
TIMETAG: 2023/07/06 17:53:17 UTC

YMDHM 	SECOND 	SOURCE 	BASELINE 	SNR_A 	SNR_B 	SNR_C 	SNR_D
20/12/22-18:00 	15.0 	1803+784 	GGAO12M/ISHIOKA 	18.533171115616092 	34.744414922614794 	55.05261234394253 	40.76083182194263
20/12/22-18:00 	15.0 	1803+784 	GGAO12M/KOKEE12M 	57.09500516965118 	92.2480907269034 	98.02636758779781 	60.93188093900924
20/12/22-18:00 	15.0 	1803+784 	GGAO12M/MACGO12M 	56.16133775184843 	58.274544585461975 	62.33509204627213 	46.70533373591581
20/12/22-18:00 	15.0 	1803+784 	GGAO12M/ONSA13NE 	79.02124973907918 	83.58851771751077 	121.45663218140453 	92.1843935236789
20/12/22-18:00 	15.0 	1803+784 	GGAO12M/ONSA13SW 	76.26649915716868 	123.29849244326363 	138.71535585188485 	112.57832038575657
20/12/22-18:00 	15.0 	1803+784 	GGAO12M/RAEGYEB 	1.5108349798710659 	34.372877265919485 	45.11011713077421 	42.136801642057236
20/12/22-18:00 	15.0 	1803+784 	GGAO12M/WESTFORD 	88.93209576509982 	95.43593138024954 	102.5772816841329 	75.59635479683465
20/12/22-18:00 	15.0 	1803+784 	GGAO12M/WETTZ13S 	113.96266005896527 	136.80715232359884 	147.85455380753308 	104.53962585241084
20/12/22-18:00 	15.0 	1803+784 	ISHIOKA/KOKEE12M 	36.03184566432664 	55.44691627593536 	66.11691729252146 	54.70493627370829
20/12/22-18:00 	15.0 	1803+784 	ISHIOKA/MACGO12M 	19.08125030607831 	18.872314307125777 	27.549710783063897 	25.808636248702243
20/12/22-18:00 	15.0 	1803+784 	ISHIOKA/ONSA13NE 	20.292242696846447 	22.696608399570756 	53.50699993188699 	49.25827469160831
20/12/22-18:00 	15.0 	1803+784 	ISHIOKA/ONSA13SW 	14.738546816670715 	49.84957079971976 	64.84360965656607 	66.05682946929731
20/12/22-18:00 	15.0 	1803+784 	ISHIOKA/RAEGYEB 	2.456470337722734 	13.767884155235775 	21.107590827360465 	24.13446028917156
20/12/22-18:00 	15.0 	1803+784 	ISHIOKA/WESTFORD 	21.078989493529374 	32.6796809104006 	41.13722350352341 	32.450951297353896
20/12/22-18:00 	15.0 	1803+784 	ISHIOKA/WETTZ13S 	27.449753269460125 	55.536084016483805 	67.56222114564571 	59.60441470625406
20/12/22-18:00 	15.0 	1803+784 	KOKEE12M/MACGO12M 	55.36231676814618 	45.743705840818016 	48.9722527024065 	37.67074646556799
20/12/22-18:00 	15.0 	1803+784 	KOKEE12M/ONSA13NE 	59.504594775332144 	69.83837875971581 	84.2239772318272 	65.54559891174809
20/12/22-18:00 	15.0 	1803+784 	KOKEE12M/ONSA13SW 	55.72634130533161 	101.51755380560213 	98.2770322567405 	80.73805650850238
20/12/22-18:00 	15.0 	1803+784 	KOKEE12M/RAEGYEB 	1.4639253635329375 	32.72919411776391 	31.597545028474624 	26.725285819032884
20/12/22-18:00 	15.0 	1803+784 	KOKEE12M/WESTFORD 	57.238214290172515 	67.38416131268492 	64.28103084696492 	40.755388167973784
20/12/22-18:00 	15.0 	1803+784 	KOKEE12M/WETTZ13S 	92.29473648601846 	112.65890279554077 	105.50400576415113 	69.96090903917379
20/12/22-18:00 	15.0 	1803+784 	MACGO12M/ONSA13NE 	51.29228319230578 	36.4121661292795 	57.3613500185851 	49.0603843829785
20/12/22-18:00 	15.0 	1803+784 	MACGO12M/ONSA13SW 	45.298704926595164 	55.78706025570971 	65.61382052718096 	58.604238431303706
20/12/22-18:00 	15.0 	1803+784 	MACGO12M/RAEGYEB 	2.7598331485301033 	16.682154046337974 	40.09706364000713 	4.246518699170976
20/12/22-18:00 	15.0 	1803+784 	MACGO12M/WESTFORD 	58.90446934821384 	41.538745227044735 	40.520498724011176 	30.87717158771001
20/12/22-18:00 	15.0 	1803+784 	MACGO12M/WETTZ13S 	72.11851426369867 	65.69172298696513 	78.11986591089934 	49.3796113571843
20/12/22-18:00 	15.0 	1803+784 	ONSA13NE/RAEGYEB 	3.507026446737967 	39.278386115129294 	91.92466203767738 	17.370049558133616
20/12/22-18:00 	15.0 	1803+784 	ONSA13NE/WESTFORD 	88.33667729275365 	58.06660387106248 	87.5716633976247 	67.77303791919945
20/12/22-18:00 	15.0 	1803+784 	ONSA13NE/WETTZ13S 	151.05018918350376 	130.24626627248503 	187.0944686049781 	140.3911550315475
20/12/22-18:00 	15.0 	1803+784 	ONSA13SW/RAEGYEB 	2.844609859250572 	53.28302599838539 	61.49931257516121 	60.11837205373636
20/12/22-18:00 	15.0 	1803+784 	ONSA13SW/WESTFORD 	81.8336727792051 	100.69936099721573 	112.09867377714792 	89.34348406868861
20/12/22-18:00 	15.0 	1803+784 	ONSA13SW/WETTZ13S 	131.88814512716084 	204.1266983089394 	222.1055652449144 	174.2384966340508
20/12/22-18:00 	15.0 	1803+784 	WESTFORD/RAEGYEB 	7.9992859900850695 	33.81460843218732 	29.020994381728087 	22.02511078179822
20/12/22-18:00 	15.0 	1803+784 	WESTFORD/WETTZ13S 	123.52940903929343 	108.25283145107268 	106.92917780386163 	74.63315953525034
20/12/22-18:00 	15.0 	1803+784 	WETTZ13S/RAEGYEB 	4.500642172542911 	62.290066613557265 	75.28259709055189 	57.32329421020283
20/12/22-18:01 	34.0 	1546+027 	GGAO12M/KOKEE12M 	131.63072514623082 	173.48328535651365 	176.0197425629132 	89.2155256968392
20/12/22-18:01 	34.0 	1546+027 	GGAO12M/MACGO12M 	80.46772572433983 	104.27207964491734 	123.58728127255725 	92.02466103353002
20/12/22-18:01 	34.0 	1546+027 	GGAO12M/WESTFORD 	114.04580886164322 	145.55447078839802 	164.65949895208766 	123.37022056825377
20/12/22-18:01 	34.0 	1546+027 	KOKEE12M/MACGO12M 	103.74801060766482 	105.72116331737203 	112.80971295993557 	70.00892082564327
20/12/22-18:01 	34.0 	1546+027 	KOKEE12M/WESTFORD 	136.9407486396278 	134.2333461338807 	128.20964371291188 	59.509023774288416
20/12/22-18:01 	34.0 	1546+027 	MACGO12M/WESTFORD 	91.29729012867544 	79.93713320194676 	89.70334519048248 	63.16058713946005
